Comment,Designator,Footprint,LCSC Part #
0,R138 R139,R0805,
0.1uF,C1 C3 C5 C7 C9 C12 C14 C16 C18 C20 C21 C22 C54 C57 C58 C59 C60 C85 C86 C87 C96 C98 C102 C104 C114 C118 C122 C125 C126 C135 C138 C139 C145 C146 C153 C154 C155 C189 C190,C0805,
0.01uF,C4 C6 C8 C13 C15 C17 C19 C23 C24 C25 C26 C27 C28 C29 C30 C31 C32 C33 C34 C48 C50 C52 C61 C62 C63 C88 C89 C90 C91 C92 C93 C94 C95 C97 C99 C106 C107 C108 C109 C110 C113 C130 C131 C191 C192,C0805,
0.001uF,C47 C72 C156 C157 C158 C159 C160,C0805,
1,R75,R0805,
1.5k,R29 R31 R101,R0805,
1k,R32 R50 R60 R78,R0805,
2N3904,Q1 Q5 Q6 Q7 Q8,SOT23-BEC,
3.3,R92,R0805,
3.3uF,C2 C147 C148 C151 C152,A/3216-18R,
4.7k,ARP13_8 ARP13_11 ARP14_7 ARP14_10 ARP14_11 ARP14_12 ARP14_13 ARP14_14 ARP14_15 R1 R2 R21 R24 R27 R42 R44 R54 R55 R56 R57 R58 R59 R64 R65 R98,R0805,
4.7k,RP1 RP2 RP3,4816P,
5.1M,R53,R0805,
10pF,C124,C0805,
10uF,C67 C71 C193,C/6032-28W,
22,R62,R0805,
26LS32,U26 U27,SOIC16,
33,R20 R79 R80,R0805,
33pF,C120,C0805,
47,R3 R6 R30 R41 R86 R87 R90 R93,R0805,
47k,R69 R70 R100,R0805,
47pF,C74 C76 C78 C188,C0805,
49.9,R9 R12 R16 R26 R45 R94,R0805,
61.9 1%,R8,R0805,
74F08,U35,SO14,
121,R13,R0805,
220pF,C10 C11 C43 C121,C0805,
300,R14 R15 R18 R19 R22 R25 R28 R34 R46 R47 R97 R136 R137,R0805,
300pF,C132,C0805,
330,R5,R0805,
330k,R51 R52,R0805,
470,R61,R0805,
470 don't stuff,R7,R0805,
470k,R4 R135,R0805,
470pF,C163 C164 C165 C166 C170 C171 C172 C173,C0805,
510,R23,R0805,
511,R33,R0805,
1000pF,C73 C80 C81 C82 C84,C0805,

