Designator,Mid X,Mid Y,Layer,Rotation
ARP13_8,34.04,92.71,Bottom,0.0
ARP13_11,25.02,95.12,Bottom,90.0
ARP14_7,73.91,117.60,Bottom,0.0
ARP14_10,107.57,133.86,Bottom,0.0
ARP14_11,102.49,141.10,Bottom,0.0
ARP14_12,106.05,149.10,Bottom,270.0
ARP14_13,140.84,155.58,Bottom,0.0
ARP14_14,109.09,154.31,Bottom,0.0
ARP14_15,122.56,137.29,Bottom,180.0
C1,95.00,25.02,Bottom,0.0
C2,94.11,22.86,Bottom,180.0
C3,91.69,18.41,Bottom,0.0
C4,90.17,26.04,Bottom,180.0
C5,86.49,26.04,Bottom,0.0
C6,83.19,18.41,Bottom,0.0
C7,87.63,18.41,Bottom,180.0
C8,94.23,29.34,Bottom,0.0
C9,98.81,29.34,Bottom,180.0
C10,47.88,79.63,Bottom,0.0
C11,51.94,92.71,Bottom,0.0
C12,112.40,61.60,Bottom,0.0
C13,112.40,56.39,Bottom,0.0
C14,107.95,61.60,Bottom,180.0
C15,112.40,63.88,Bottom,0.0
C16,107.95,63.88,Bottom,180.0
C17,107.95,59.05,Bottom,180.0
C18,107.95,56.39,Bottom,180.0
C19,112.40,59.05,Bottom,0.0
C20,31.75,67.31,Bottom,180.0
C21,41.27,48.26,Bottom,180.0
C22,57.15,48.26,Bottom,180.0
C23,37.59,79.63,Bottom,180.0
C24,31.75,54.61,Bottom,180.0
C25,54.61,79.63,Bottom,180.0
C26,62.87,70.48,Bottom,180.0
C27,182.25,118.75,Bottom,0.0
C28,182.37,107.32,Bottom,0.0
C29,182.50,95.25,Bottom,0.0
C30,182.12,83.19,Bottom,0.0
C31,182.37,71.12,Bottom,0.0
C32,182.12,59.31,Bottom,0.0
C33,181.74,47.12,Bottom,0.0
C34,182.88,34.93,Bottom,0.0
C43,196.85,82.55,Bottom,0.0
C47,204.34,139.19,Bottom,180.0
C48,211.46,145.03,Bottom,180.0
C50,208.28,156.21,Bottom,0.0
C52,208.28,153.67,Bottom,0.0
C54,203.07,156.97,Bottom,180.0
C57,203.07,154.81,Bottom,180.0
C58,176.15,148.08,Bottom,180.0
C59,170.81,144.15,Bottom,0.0
C60,191.01,149.73,Bottom,180.0
C61,185.17,155.32,Bottom,0.0
C62,175.26,155.45,Bottom,0.0
C63,179.71,152.27,Bottom,180.0
C67,176.53,159.39,Bottom,180.0
C71,189.61,143.64,Bottom,0.0
C72,193.68,152.53,Bottom,180.0
C73,176.78,161.93,Bottom,180.0
C74,189.48,161.29,Bottom,180.0
C76,198.75,161.29,Bottom,0.0
C78,194.18,163.83,Bottom,180.0
C80,185.42,158.75,Bottom,0.0
C81,207.65,165.10,Bottom,0.0
C82,185.42,161.29,Bottom,0.0
C84,203.20,165.10,Bottom,180.0
C85,34.80,118.87,Bottom,180.0
C86,67.31,116.84,Bottom,0.0
C87,58.42,92.71,Bottom,180.0
C88,46.99,123.19,Bottom,180.0
C89,66.93,98.68,Bottom,0.0
C90,40.89,103.38,Bottom,0.0
C91,43.18,92.71,Bottom,180.0
C92,212.09, 8.89,Bottom,180.0
C93,196.85, 8.89,Bottom,0.0
